Race_ID,Horse_ID,Finish_Time,Gate,Finish Position,Prize,Bloodline,Breed_Type,Fire,Genotype,ClassLevel
WQyynpzP,498375,96.2479,8,3,486000000000000,Buterin,pacer,0,Z268,254
WQyynpzP,598142,96.4788,7,7,0,Finney,elite,0,Z21,290
WQyynpzP,522933,96.6593,1,10,0,Finney,elite,1,Z16,296
WQyynpzP,600826,95.9877,9,2,810000000000000,Buterin,elite,0,Z44,282
WQyynpzP,520433,95.5098,11,1,1944000000000000,Finney,elite,0,Z22,241
WQyynpzP,599968,96.6202,3,8,0,Buterin,elite,0,Z25,300
WQyynpzP,601052,96.4535,5,5,0,Buterin,elite,1,Z22,269
WQyynpzP,210470,96.6588,4,9,0,Buterin,legendary,0,Z12,242
WQyynpzP,596987,96.9354,12,12,0,Finney,elite,0,Z32,282
WQyynpzP,596975,96.2538,6,4,0,Buterin,elite,0,Z21,292
WQyynpzP,484845,96.4691,10,6,0,Buterin,cross,0,Z50,281
WQyynpzP,598780,96.6659,2,11,0,Buterin,elite,1,Z34,258
IeNN38X,353815,94.5575,10,2,0,Finney,exclusive,0,Z9,254
IeNN38X,522256,95.2722,2,11,0,Buterin,elite,1,Z21,289
IeNN38X,448803,93.8655,9,1,0,Buterin,elite,0,Z29,247
IeNN38X,177963,94.7367,5,5,0,Nakamoto,exclusive,0,Z4,291
IeNN38X,462268,94.7918,3,7,0,Finney,elite,0,Z19,225
IeNN38X,485029,94.6941,8,4,0,Buterin,elite,0,Z57,286
IeNN38X,588649,94.8541,4,8,0,Nakamoto,cross,0,Z23,214
IeNN38X,478987,95.1689,11,10,0,Buterin,cross,0,Z41,263
IeNN38X,598689,94.7725,12,6,0,Buterin,cross,1,Z61,269
IeNN38X,391241,94.5723,1,3,0,Buterin,legendary,1,Z16,253
IeNN38X,504294,94.8734,7,9,0,Buterin,pacer,0,Z89,218
IeNN38X,23280,95.5451,6,12,0,Buterin,genesis,0,Z9,260
dK5ay7mu,358514,97.2058,4,4,0,Buterin,legendary,0,Z12,254
dK5ay7mu,594344,97.212,11,6,0,Buterin,cross,0,Z70,251
dK5ay7mu,353815,97.4355,1,10,0,Finney,exclusive,0,Z9,254
dK5ay7mu,416696,97.3284,3,9,0,Buterin,cross,0,Z32,264
dK5ay7mu,12027,97.1954,12,2,0,Buterin,genesis,0,Z9,238
dK5ay7mu,211945,97.203,6,3,0,Szabo,elite,1,Z17,291
dK5ay7mu,208824,97.0752,5,1,0,Szabo,exclusive,1,Z6,296
dK5ay7mu,462268,97.5873,2,11,0,Finney,elite,0,Z19,225
dK5ay7mu,505566,97.2897,7,8,0,Finney,cross,0,Z19,253
dK5ay7mu,486670,97.5894,8,12,0,Buterin,exclusive,0,Z24,261
dK5ay7mu,391241,97.2648,9,7,0,Buterin,legendary,1,Z16,253
dK5ay7mu,410991,97.2104,10,5,0,Szabo,exclusive,0,Z5,294
v7xTe7xM,463805,95.5438,5,3,972000000000000,Finney,elite,0,Z16,260
v7xTe7xM,195630,96.2075,11,11,0,Szabo,exclusive,0,Z10,285
v7xTe7xM,510738,95.8318,9,7,0,Buterin,pacer,0,Z54,261
v7xTe7xM,596717,95.5468,12,4,0,Buterin,elite,0,Z41,289
v7xTe7xM,510005,95.9015,3,8,0,Finney,exclusive,0,Z20,257
v7xTe7xM,395158,95.3682,10,2,1620000000000000,Buterin,legendary,0,Z14,284
v7xTe7xM,588768,95.6463,2,5,0,Buterin,elite,1,Z48,295
v7xTe7xM,595968,95.9071,7,9,0,Szabo,elite,0,Z12,300
v7xTe7xM,400423,95.7974,4,6,0,Buterin,cross,0,Z31,260
v7xTe7xM,593163,95.9925,8,10,0,Buterin,cross,1,Z47,250
v7xTe7xM,526917,95.1989,1,1,3888000000000000,Buterin,elite,0,Z61,264
v7xTe7xM,516634,96.5404,6,12,0,Buterin,exclusive,1,Z35,265
oOXVv4U1,528870,95.1438,4,3,0,Buterin,cross,0,Z34,253
oOXVv4U1,353812,94.5468,12,1,0,Finney,exclusive,0,Z11,264
oOXVv4U1,416696,95.4785,6,8,0,Buterin,cross,0,Z32,264
oOXVv4U1,511259,95.2158,7,5,0,Buterin,elite,0,Z38,264
oOXVv4U1,432067,95.5017,9,9,0,Buterin,elite,0,Z19,252
oOXVv4U1,211945,95.5621,11,10,0,Szabo,elite,1,Z17,291
oOXVv4U1,516072,95.0834,10,2,0,Buterin,exclusive,0,Z18,291
oOXVv4U1,7289,95.1536,2,4,0,Buterin,legendary,1,Z12,266
oOXVv4U1,488247,96.0503,1,12,0,Buterin,cross,1,Z79,296
oOXVv4U1,596058,95.2315,5,6,0,Szabo,cross,0,Z31,273
oOXVv4U1,513043,95.2987,8,7,0,Finney,cross,0,Z37,245
oOXVv4U1,601737,95.5977,3,11,0,Buterin,elite,0,Z38,242
tgPTGvE3,353815,95.2787,7,5,0,Finney,exclusive,0,Z9,254
